order_id,user_id,status,gender,created_at,returned_at,shipped_at,delivered_at,num_of_item,order_total
1,3770,Complete,F,2024-04-20 07:13:40,,2024-04-23 07:13:40,2024-04-29 07:13:40,3,730.69
2,9485,Complete,F,2022-05-08 13:38:35,,2022-05-10 13:38:35,2022-05-15 13:38:35,2,240.96
3,7721,Complete,F,2024-09-08 04:34:37,,2024-09-11 04:34:37,2024-09-16 04:34:37,2,913.5
4,8829,Complete,M,2023-12-25 04:26:38,,2023-12-28 04:26:38,2024-01-02 04:26:38,1,253.14
5,4876,Complete,M,2023-12-10 11:05:09,,2023-12-13 11:05:09,2023-12-15 11:05:09,1,164.46
6,3971,Returned,F,2022-10-10 15:54:23,2022-11-01 15:54:23,2022-10-12 15:54:23,2022-10-14 15:54:23,1,261.85
7,4956,Shipped,M,2022-09-16 08:32:47,,2022-09-17 08:32:47,2022-09-20 08:32:47,3,672.06
8,940,Complete,M,2024-04-18 22:12:15,,2024-04-19 22:12:15,2024-04-22 22:12:15,1,88.66
9,767,Complete,M,2021-08-25 01:03:50,,2021-08-27 01:03:50,2021-09-02 01:03:50,3,545.21
10,7251,Complete,M,2023-02-11 09:47:11,,2023-02-12 09:47:11,2023-02-19 09:47:11,2,403.21
11,1946,Processing,F,2024-05-13 04:53:41,,,,1,136.01
12,8625,Complete,F,2022-06-09 13:11:00,,2022-06-12 13:11:00,2022-06-17 13:11:00,4,1024.7
13,6173,Complete,M,2021-08-12 23:51:13,,2021-08-14 23:51:13,2021-08-16 23:51:13,2,461.05
14,3952,Complete,F,2023-02-25 12:54:41,,2023-02-28 12:54:41,2023-03-03 12:54:41,1,236.9
15,537,Processing,F,2023-11-25 08:17:14,,,,3,657.48
16,4507,Complete,M,2022-03-17 16:01:07,,2022-03-19 16:01:07,2022-03-26 16:01:07,1,411.16
17,9534,Complete,F,2023-08-25 00:26:32,,2023-08-27 00:26:32,2023-09-03 00:26:32,1,327.2
18,5412,Complete,M,2020-05-12 20:49:01,,2020-05-13 20:49:01,2020-05-20 20:49:01,3,699.84
19,253,Processing,M,2022-07-04 15:31:57,,,,4,1224.73
20,1658,Processing,F,2022-04-04 23:37:36,,,,2,878.62
21,3350,Returned,F,2024-05-24 17:56:49,2024-06-04 17:56:49,2024-05-27 17:56:49,2024-05-29 17:56:49,2,295.14
22,4311,Complete,F,2024-09-17 05:35:07,,2024-09-19 05:35:07,2024-09-22 05:35:07,2,338.09
23,7745,Complete,M,2020-10-04 19:35:54,,2020-10-05 19:35:54,2020-10-12 19:35:54,2,747.41
24,881,Cancelled,M,2024-05-28 23:49:11,,,,1,305.64
25,4597,Complete,M,2024-12-02 19:40:04,,2024-12-05 19:40:04,2024-12-10 19:40:04,2,355.33
26,5076,Complete,F,2023-03-31 17:00:29,,2023-04-03 17:00:29,2023-04-07 17:00:29,4,1161.81
27,8641,Processing,F,2023-03-12 13:07:44,,,,4,1115.94
28,5244,Complete,M,2023-10-17 03:32:32,,2023-10-19 03:32:32,2023-10-25 03:32:32,1,59.55
29,9174,Complete,F,2024-12-24 00:12:00,,2024-12-25 00:12:00,2025-01-01 00:12:00,6,1822.14
30,1843,Shipped,M,2020-04-25 04:13:12,,2020-04-28 04:13:12,2020-05-02 04:13:12,1,529.45
31,3166,Shipped,M,2023-08-10 16:58:30,,2023-08-11 16:58:30,2023-08-18 16:58:30,5,1172.84
32,4652,Complete,F,2024-04-06 20:10:25,,2024-04-07 20:10:25,2024-04-13 20:10:25,3,638.22
33,2528,Complete,M,2024-11-15 18:27:57,,2024-11-16 18:27:57,2024-11-22 18:27:57,1,206.93
34,437,Cancelled,M,2021-12-06 08:29:05,,,,2,1000.54
35,4794,Processing,F,2022-05-22 16:10:24,,,,1,131.58
36,1411,Complete,F,2022-10-09 18:49:34,,2022-10-11 18:49:34,2022-10-14 18:49:34,1,300.29
37,2396,Cancelled,M,2024-05-18 20:30:15,,,,1,313.95
38,3087,Complete,M,2024-01-17 16:00:24,,2024-01-20 16:00:24,2024-01-26 16:00:24,2,317.87
39,1021,Complete,F,2023-11-24 18:34:05,,2023-11-25 18:34:05,2023-11-28 18:34:05,2,120.91
40,5042,Processing,F,2023-02-12 02:18:45,,,,2,873.08
41,752,Complete,M,2023-10-31 07:19:46,,2023-11-02 07:19:46,2023-11-08 07:19:46,1,351.1
42,6973,Complete,M,2022-05-26 11:46:41,,2022-05-29 11:46:41,2022-06-03 11:46:41,2,503.53
43,926,Complete,F,2022-03-11 08:08:58,,2022-03-12 08:08:58,2022-03-17 08:08:58,2,251.31
