id,cost,category,name,brand,retail_price,department,sku,distribution_center_id
1,209.14,Fashion Hoodies & Sweatshirts,Gap Crewneck Sweatshirts #1,Gap,605.79,Men,SKU-000001,2
2,109.39,Socks,Columbia Crew Socks #2,Columbia,307.4,Men,SKU-000002,6
3,162.15,Blazers & Jackets,UNIQLO Denim Jackets #3,UNIQLO,384.06,Women,SKU-000003,5
4,130.45,Shorts,Wrangler Bermuda Shorts #4,Wrangler,273.56,Women,SKU-000004,3
5,185.52,Intimates,Levi's Underwear #5,Levi's,364.76,Women,SKU-000005,2
6,231.97,Fashion Hoodies & Sweatshirts,Versace Crewneck Sweatshirts #6,Versace,696.96,Men,SKU-000006,7
7,167.78,Outerwear & Coats,Columbia Coats #7,Columbia,421.47,Kids,SKU-000007,2
8,218.18,Jeans,Anthropologie Straight Jeans #8,Anthropologie,590.9,Kids,SKU-000008,6
9,23.43,Active,Patagonia Yoga Pants #9,Patagonia,73.59,Kids,SKU-000009,7
10,20.05,Skirts,Under Armour A-Line Skirts #10,Under Armour,41.25,Men,SKU-000010,4
11,178.76,Jeans,Ralph Lauren Straight Jeans #11,Ralph Lauren,520.22,Kids,SKU-000011,6
12,168.32,Shirts & Tops,Calvin Klein Casual Shirts #12,Calvin Klein,476.87,Men,SKU-000012,4
13,30.38,Footwear,Ralph Lauren Boots #13,Ralph Lauren,72.47,Kids,SKU-000013,7
14,120.0,Outerwear & Coats,Puma Jackets #14,Puma,261.62,Men,SKU-000014,5
15,215.17,Accessories,Levi's Belts #15,Levi's,592.07,Women,SKU-000015,3
16,211.14,Shirts & Tops,Hollister Polo Shirts #16,Hollister,436.75,Kids,SKU-000016,9
17,68.06,Pants & Capris,Free People Jeans #17,Free People,141.95,Women,SKU-000017,8
18,48.28,Suits,Adidas Business Suits #18,Adidas,149.64,Kids,SKU-000018,9
19,185.21,Socks,Nike Ankle Socks #19,Nike,394.35,Kids,SKU-000019,8
20,55.78,Shirts & Tops,Ralph Lauren T-Shirts #20,Ralph Lauren,175.06,Men,SKU-000020,2
21,184.31,Outerwear & Coats,North Face Coats #21,North Face,585.84,Men,SKU-000021,5
22,240.94,Socks,Banana Republic Crew Socks #22,Banana Republic,637.92,Men,SKU-000022,2
23,191.13,Jeans,Free People Skinny Jeans #23,Free People,413.92,Women,SKU-000023,2
24,64.56,Active,UNIQLO Athletic Shorts #24,UNIQLO,173.96,Women,SKU-000024,9
25,123.77,Dresses,Ralph Lauren Maxi Dresses #25,Ralph Lauren,293.86,Women,SKU-000025,10
26,231.15,Accessories,Adidas Belts #26,Adidas,459.09,Men,SKU-000026,10
27,173.5,Footwear,American Eagle Sandals #27,American Eagle,354.5,Kids,SKU-000027,9
28,170.2,Tops & Tees,Under Armour Tank Tops #28,Under Armour,405.87,Women,SKU-000028,2
29,48.12,Sleep & Lounge,Burberry Pajamas #29,Burberry,150.04,Kids,SKU-000029,10
30,83.95,Underwear,H&M Boxers #30,H&M,236.87,Men,SKU-000030,6
31,241.76,Shirts & Tops,Forever 21 T-Shirts #31,Forever 21,472.73,Kids,SKU-000031,4
32,212.93,Skirts,Banana Republic Midi Skirts #32,Banana Republic,407.64,Men,SKU-000032,2
33,64.05,Skirts,Gucci Mini Skirts #33,Gucci,155.88,Men,SKU-000033,1
34,24.17,Shorts,Versace Bermuda Shorts #34,Versace,60.36,Men,SKU-000034,5
35,189.46,Shorts,Burberry Bermuda Shorts #35,Burberry,567.66,Kids,SKU-000035,4
36,198.41,Pants & Capris,H&M Chinos #36,H&M,583.61,Men,SKU-000036,10
37,100.03,Tops & Tees,Wrangler Blouses #37,Wrangler,287.83,Kids,SKU-000037,3
